eng_reviews,sentiments
"OnePlus has outdone itself this time, delivering a smartphone that truly lives up to its legacy as a flagship killer. After using it for a week, here are my ratings:  1. Design: 10/10 The slim, boxy design with a matte black finish feels premium and elegant. The in-hand feel is exceptional.  2. AI: 10/10 Packed with all the latest AI features, it’s both innovative and intuitive.  3. OS: 9/10 The return of OxygenOS is a brilliant move! While there are a few bloatware apps, OxygenOS 15 is lightning-fast and smooth.  4. Camera: 9/10 While not flagship-level, the camera performs impressively, capturing excellent detail in most scenarios.  5. Battery: 10/10 The silicon battery is a game-changer, offering 10-11 hours of screen-on time with moderate use—simply outstanding.  6. Processor: 10/10 The Snapdragon 8 Gen 3 delivers optimized, power-efficient performance that feels seamless.  7. Display: 10/10 The display is breathtaking—vivid, sharp, and a delight to use.  Overall, OnePlus 13R is a powerhouse and offers unbeatable value for its price.  Conclusion: The OnePlus 13R is a masterclass in balancing performance, design, and innovation at a competitive price. With its sleek design, cutting-edge AI features, impressive battery life, and smooth performance, it redefines what a flagship killer should be. While the camera isn't quite flagship-level, it holds its own in most scenarios. If you're looking for a phone that offers premium features without breaking the bank, the OnePlus 13R is the one to beat.",POSITIVE
"A powerhouse of performance and style! ✨ The stunning display is captivating, and the camera delivers crisp, vibrant photos. Gaming is smooth as butter, thanks to its blazing-fast processor. Battery life easily lasts all day, and charging is super quick. Definitely a top contender in its price range!",POSITIVE
"No phone can be rated 5 out of 5. At the best 4.5 would be possible with something or the other falling short.. Oneplus 13R has many great things under it's hood but half heartedly done to retain the difference between R and the non R phone.  A. Positives.  1. Display. Excellent and flat display. No concerns as it now comes with life time warranty for green line issues, if any and if at all which is a great peace of mind considering Oneplus would honour it. Supports Dolby vision, HDR +. The display is bright, clear and crisp. The under display optical finger print sensor is placed lower closer to the bottom bezel failing to the ergonomic placement. It could have been an inch above. However, no issues with it's operations. Quite quick but not as fast and quick as ultra sonic sensor. 2. Processor. Excellent. No lags and no hiccups. (I am not into gaming but i know this would fare well based on my experience with S24 Ultra. Note that there would be heating felt upon prolonged heavy app use. However, this SoC would serve well for several years with new android updates. Now with Oneplus offering 4 plus 6 years SW update policy this is future proof hardware. 3. Sound. Ok, the stereo sound is decent and loud enough but there's evident distortion over 90 percent volume setting. Bass isn't very evident. Also Dolby Atmos is now not available. Otherwise it's a proper stereo sounding speakers. 4. RAM, Storage and Communication. Excellent specs with DDR5 and UFS 4.0. With base version starting at 12GB/256GB it's more than enough for most users. It is however let down with USB 2.0 post that limits transfer speeds but then it's something that wouldn't bother to most people who wouldn't be transferring data to and fro from other devices. IP protection is IP65 which is fine but IP 68 is a common thing at these prices especially from chinese phone makers. Haptics are tight but weak. A little more stronger motor would have been perfect. 5. Battery. Excellent. Anything between 7 to 10 hours of SOT can easily be had from this phone. A proper full day battery unless you are into gaming all the day. I use 50 percent for my use case which involves social media, few camera photos and browsing with about 4 hours of SOT. Calling drains faster than multimedia watching which probably needs to be rectified with future updates. Some carrier bands seems to have been removed, however I didn't have any issues with calling or internet on my 4G airtel SIM. There's no wireless charging though. 6. Call quality Very good and clear. No issues at either end..signal reception is also good.  B. Negatives. 1. Software This is Color OS 15 which is slightly modified as Oxygen OS 15. It's super smooth and slick with lots of customizations possible. But still it's no where near Samsung One UI which is far superior, functional and feature rich than Oxygen OS 15. Also Oneplus added few bloatwares like Phone manager, Phone pick and few other apps. Luckily, you can either uninstall them or disable them. Interestingly, as an example the biggest overlooked setting is you can chose when to enter Power saving mode but you can come out of it only when you charge it till 90 percent. This is something that's silly and Oneplus must automatically disable power saving mode once the battery crosses it's trigger point. There are couple of such thoughtless things in Oxygen OS 15 which should be rectified. There's also nothing like Routines which Samsung offers on their S and A series for phone automation tasks. 2. Cameras Some changes are positive but half hearted. Something like adding a telephoto 2X instead of macro which is such a welcome move, but then this lens has no OIS. UW 8 MP is just passable in daylight. In day light both main and 2X give good quality photos however low light performance is much to be desired. 3X with OIS would be more practical as such. Video on this phone is even more compromised with 4K limited to main sensor. All other sensors are capped at 1080P. In the front 16 MP camera is again okish for photos and handicapped for videos capped at 1080, 30 FPS which is a bummer. Overall Oneplus could have done better with the cameras but it seems like they intentionally subdued R series more to differentiate it with the pricier Oneplus 13 rather than on pricing front. 3. AI There are few AI features in photos, notes etc..but frankly they don't work as seamlessly or effectively as what can be seen on my S24U from Samsung. Oneplus has a long way to go in this aspect. Right now it's more gimmicky.  My last Oneplus phone was 3T post which I switched to Samsung S series. No doubt S series, especially Ultra is leagues ahead both hardware and software but when it comes to value for money Oneplus 13 series does shine. Moreso with their introductory pricing and offers. Yes some of the above shortcomings could have been included at this price point, but stills it's a safe bet and a promising phone for years of use with the kind of hardware and SW you get from Oneplus. I would recommend the Oneplus 13R phone under 40K for its hardware and revised SW update policy.",NEGATIVE
Surprisingly good product for the price. I have generally purchased the flagship phones of OnePlus with the assumption that they are better than the Nord-series. I now stand corrected. The NORD CE range is definitely an economical range and not meant for heavy usage but the Nord series are more than capable of taking on heavy usage. The camera is not great but at the price point it is more than adequate. The phone is well built and looks good. The finger print reader is quick and efficient. Phone functionality being almost bare bones androrid is high on user friendliness. A definite buy!,POSITIVE
"Bought the phone a month ago. Safe to say at this price range, for me, it's banger. A fast and smooth software experience and tough and durable hardware.  The oxygen os 15 update made the software smoother and brought some cool features as well. Battery gives an excellent backup, charges quick, the display is great and flat. Also the metal design is unique.  The only downside, or might i say, a slight disappointment is the camera. Not that good at this price. Still and over-all great one. Not even noticeable to the average user. Apart from that, One plus nailed it.",POSITIVE
"This is my first OnePlus device, before this iam user of poco believe me oxygen OS is far better than miui/ Hyper os. It's lag free,and very smoothly work, battery is al great, camera is not upto mark but ok. Performance is next level iam loving with it😎",POSITIVE
"I am writing this review after 1 month of using the Oneplus Nord 4. It is one of the best midrange phone that you can blindly buy without any confusion. I bought this phone during Great Indian festival after so much research and doubts. I was not sure which phone will be the best in 30000 segment. I was looking for a balanced phone which has everything like good performance, good design, good battery and good camera. I don't want to compromise in any one thing. So after lot of research i was having confusion between nord 4 and realme gt 6t. But in realme gt 6t the display is curved which i don't prefer at all. Curved display is waste of money and feels like gimmick so i avoided it and bought nord 4. Now i feel it was the best decision. Best features of this Nord 4 are- Design - I literally loved the mercurian silver metel design which looks so much premium. I thought metel might be heavier but in daily use its not a problem at all. It cools down so fast and does not have any heating issues at all. Performance - It has the best performance and able to play BGMI so smoothly. Flat screen helps so much in games also. Battery - If you use normally the battery will last more than 1 day easily and it charges the phone within 25mins. Camera - I felt the main camera is so good and it takes very decent photos. 50mp camera performs above average. If camera is your main priority then its better to go for realme, vivo, Samsung or Iphone which are camera centric. But then other areas you have to compromise. Trust me below 30k this phone takes very good photos. Network - Being a metel phone i am getting 5g network always without any problem. Never felt any Issues at all. Display - It has best display and content viewing experience is top notch with minimum bezzels.  This review is genuine and trust me if you want a balanced midrange phone you can go for Oneplus Nord 4 for sure. Greenline is coming in all the brands so no need to get back from this phone because of this reason....  (If any problems comes in future then i will update the review for sure)",POSITIVE
"I've never had a OnePlus device before so I'll be totally unbiased over my experience for this phone since I bought it by the time of of first day launch🤗  1) Design: (9.5/10 Subjective) I love it but t's subjective is you prefer a glass built over a metal or the dual tone colours/texture appeals you less or more, but ultimately it's one of the most eye catching designs launched this year apart from the Nothing phones that has managed to attain a premium appearance in a very simple unibody structure.  2) Performance: (8.5/10) This is what makes it one of the top competitors within the 30k lineup phones. I personally play a lot of gatcha games like Genshin, Honkai and Wuthering Waves, over fps shooting so I would definitely say that gatcha games being heavier in graphics, Nord 4 is capable to provide the most efficient gaming. Practically speaking if you avoid those YouTube reviews with AnTuTu, any android phone would at some point face fps drop if you play in the highest settings and I do believe with what I've heard that even with high end processors like Snapdragon 7+ 3, OnePlus always limits it's potential which is why we do get to see some throttling, but on a long term it doesn't matter. If you are a daily user with 2-3 hours of heavy gaming per day or more with breaks after every 45 minutes to 1 hour of heavy graphic gameplay, then you could definitely have a great experience. If you are just a normal user, you can choose it blindly.  3) Built and UI: (9/10 for strength and quality but 7/10 for being expensive to replace) Ofcourse being metal you would expect a little bit of weight (around 200 grams) but you get used to it and it really feels much premium to feel that metallic weight in your hand. It might get really slippery and if it falls down it might not have scratches except for the glass portion around the camera but might face dents on the metal if the fall is too harsh, so I would suggest to have a back cover, and let's be honest no matter how premium the phone is even if it looks great, they are all at the end of the day sensitive and how you manage to care for it depends totally on you. Be responsible. And as I mentioned, it's going to be really expensive to replace a unibody metal frame if it's cracked or dented even if it's strong enough to work so be careful. As for the UI I've been a Xiaomi user so honestly I don't feel much different in terms of operating system with bloatware, but I really don't feel bothered by it as long as I'm able to disable it. I uninstalled and disabled not almost but EVERY single bloatware in this phone that I possibly could have including app market and even the gaming tool so now I don't get those security checks after installing apps and it feels as clean as any Flagship phone.  3) Battery: (8/10) It's good. Definitely better battery life than my iPhone BUT for how big the battery is, the Oxygen OS hasn't optimised it's battery life to it's maximum just as I mentioned before for its Processor but it's not a big deal. 5500mAH is something we see less as the price goes higher over handheld devices because they try to add more space for gimmicks like wireless charging which in my opinion is not very practical everytime unless you carry a wireless charger everywhere and they are really slow. But the wired charging in OnePlus with the 100 watt out of the box charger is great and it charges the device to full within 30 minutes tho I would suggest to toggle the option from Battery Health settings to charge it till 80 percentage so you can keep it's battery health stable for long. I hope they optimise it in the future updates but honestly it gives you around 7-8 hours of life with regular usage and even more if you are a light user which is more than enough considering that at some point you will need to charge your device any way.  4) Display: (8/10) It's a very smooth 120hz amoled panel with HDR support in Netflix that I never really use because I watch on my MacBook or the television (it's just better to watch anything on a bigger display over a phone to keep your visions safe) and an unnamed protection (Panda glass according to few sources) but I'll be practical over how much it actually matters. Being someone who has changed the displays in the past after getting it broken, it doesn't matter what Gorilla glass they put on your phone, it's a glass at the end of the day and if you are not being responsible enough by handling your phone with care, it's expected for your screen to face damage. Use a good tempered glass around 3-4 USD (200-400 INR) I won't suggest to go higher because no matter how expensive it is, even if it's able to handle a bend test, practically any tempered display is penetrable if it falls flat on a rough surface UNLESS you have a good thick back cover. Overall it's a good display but I feel that the brightness could be a bit bother outside if you live in a heavily bright environment. Personally I didn't face any issues for the time being as the peak brightness is really good in the sunlight but if you compare it to some cheaper devices, it might feel a little less.  5) Heating Stabilization: (9/10) I mean, it's metal? Ofcourse it's going to be hot DURING a gameplay but HEATING DOESN'T MEAN PERFORMANCE DROP. Also it's during the time when you are playing or doing some heavy task but the best part of metal is that it cools down as fast as it heats up and the cooling chamber in this phone is really efficient. Overall It's definitely better in terms of heat stabilization than any glass/plastic built phones for being a metal although I would say that, if you are travelling in a constantly hot temperature, avoid exposing it to direct sunlight for too long as it might get hot or else again, Use a back cover. BUT I'd also suggest to not use a back cover when doing some heavy gaming because it makes you loose the purpose of having a metal phone with such a good heating stabilization as plastic makes it harder to escape the heat.  6) Camera: (7/10 Subjective) This isn't my place but I would still give some opinion. It is decent and when I say that, it is actually not bad at all infact really good along it's limitations. It has a very natural tone on the back camera with a really good potrait mode and a decent front camera definitely better than a 25k phone but ofcourse with the specifications you see, there are limitations if you compare it to other phones in the same price. It's definitely better than Nothing 2a in terms of color and stability but not as close to camera centred phones like Vivo/Realme in the midrange but then again those phones lack either performance or the brand value, as OnePlus is much premium as a brand than Vivo/Realme even if they are from the same company. Again it is subjective and this phone in my opinion is rather a balance of performance along with the things you need in a midrange close-to-flagship phone rather than being an entire camera phone, but it's still really good even with the limitations of telephoto and other things that I find gimmick because I'm not a camera phone user.  Overall: (8.25) It's a great phone for both everyday users and decent to heavy gamers. I might score it higher in the future if they successfully optimise the Operating system in the future updates and push it to 9 even with a decent camera because this phone has a lot of potential and considering it's future update promises of 4+6 for Android and security patch, it's a very good purchase. Just praying that these phones don't face any green line issues in the future.",POSITIVE
"With CC discount, got it for a great bargain price. could not ask for more. Elegant, premium look. Wonderful camera, UI is also good. using it since 10 days, yet to explore many features. Battery life is also good, no worries. 100w superfact charing in 20 mins. Overall happy with the product.",POSITIVE
"AMAZING battery life , very calssy , best UI , easy to use Ai options , 10/10 design .  overall 4.8/5 I really like it .  but there is only 2 weakness i hope they solve it with a pro version i will be fist buyer :  1st camera : camera not that good , front and back camera is avarge or below average on some stuation 2nd wireless charging : yeah no wireless charging .",NEGATIVE
